,State,Number of Companies
0,Arkansas,6
1,Texas,40
2,California,36
3,Nebraska,3
4,Washington,11
5,Minnesota,18
6,Rhode Island,4
7,Pennsylvania,8
8,Michigan,8
9,Ohio,19
10,Illinois,37
11,New York,35
12,Massachusetts,16
13,District Of Columbia,6
14,North Carolina,10
15,Georgia,11
16,Indiana,4
17,Delaware,1
18,New Jersey,11
19,Virginia,14
20,Connecticut,7
21,Tennessee,9
22,Idaho,4
23,Missouri,5
24,Kentucky,3
25,Maryland,3
26,Florida,8
27,Oregon,3
28,Colorado,3
29,Wisconsin,3
30,New York City,18
